2,3,B
4,2,W
5,4,B
1,3,W
4,1,B
4,5,W
0,3,B
4,0,W
2,4,B
1,2,W
5,3,B
1,5,W
1,4,B
0,5,W
2,5,B
2,6,W
3,2,B
6,4,W
7,4,B
5,5,W
2,7,B
3,7,W
4,7,B
2,1,W
5,0,B
1,6,W
5,2,B
3,1,W
0,7,B
6,0,W
5,6,B
6,7,W
5,7,B
6,5,W
7,7,B
6,2,W
5,1,B
1,7,W
2,2,B
6,1,W
7,0,B
7,1,W
3,0,B
1,1,W
2,0,B
1,0,W
0,0,B
3,6,W
7,3,B
3,5,W
7,2,B
6,3,W
0,6,B
0,1,W
0,2,B
0,4,W
7,6,B
6,6,W
7,5,B
4,6,B
